SystemCodeNumber,ParkingName,Latitude,Longitude,Capacity,AvgOccupancy,MaxOccupancy,MinOccupancy,StdOccupancy,OccupancyRatio,UtilizationLevel,PeakHour,PeakDay
BHMBCCMKT01,Markets Car Park,52.4764,-1.8906,577,162.0297256097561,573,2,99.40497971886076,28.08,Low,13,Saturday
BHMBCCPST01,Pershore Street Car Park,52.4748,-1.8943,317,136.0368338557994,320,0,61.84449358917095,42.91,Moderate,14,Saturday
BHMBCCSNH01,Snow Hill Multi-Storey Car Park,52.4829,-1.8991,863,572.1213292117466,869,68,206.5166520466452,66.29,High,12,Thursday
BHMBCCTHL01,Town Hall Multi-Storey Car Park,52.4761,-1.9048,387,288.3574695121951,403,39,92.34006457742124,74.51,High,14,Wednesday
BHMBRCBRG01,Bullring Shopping Centre Car Park,52.4776,-1.8948,1010,647.3642495784148,1013,0,323.4801328122091,64.1,High,13,Saturday
BHMBRCBRG02,Bullring Moor Street Car Park,52.4784,-1.8929,1194,564.1163575042159,1198,25,337.53296815713543,47.25,Moderate,13,Saturday
BHMBRCBRG03,Bullring Edgbaston Street Car Park,52.4768,-1.8942,849,243.3912310286678,633,15,122.43604192336022,28.67,Low,14,Saturday
BHMBRTARC01,Arcadian Car Park,52.4746,-1.8967,496,385.21590909090907,417,352,17.490522138612526,77.66,High,7,Wednesday
BHMEURBRD01,Euro Car Parks Fiveways,52.4727,-1.9161,470,302.4931402439024,470,28,137.37171656225394,64.36,High,14,Wednesday
BHMEURBRD02,Euro Car Parks Lee Longlands,52.4746,-1.9118,220,136.5540752351097,220,2,70.41729549583724,62.07,High,12,Tuesday
BHMMBMMBX01,Mailbox Parking,52.4761,-1.9038,687,477.3018292682927,688,170,120.72639438099802,69.48,High,14,Thursday
BHMNCPHST01,NCP Birmingham High Street,52.4812,-1.8927,1200,557.686737804878,954,55,225.4422050839935,46.47,Moderate,14,Wednesday
BHMNCPLDH01,NCP Birmingham Londonderry House.,52.4821,-1.892,720,505.1965944272446,723,156,155.28219249724344,70.17,High,14,Thursday
BHMNCPNHS01,NCP Birmingham Newhall Street,52.4827,-1.9044,500,355.4874759152216,503,20,125.22320029136796,71.1,High,13,Tuesday
BHMNCPNST01,NCP Birmingham New Street.,52.4769,-1.8992,485,285.938262195122,467,136,57.34544777754263,58.96,Moderate,14,Thursday
BHMNCPPLS01,NCP Birmingham Pallasades,52.4776,-1.8986,450,86.66460108443067,377,4,55.85985906241192,19.26,Low,14,Saturday
BHMNCPRAN01,NCP Birmingham Royal Angus.,52.4844,-1.8953,600,387.2715008431703,599,46,161.1145111985827,64.55,High,12,Thursday
Broad Street,Broad Street,52.4761,-1.9126,690,436.1592987804878,690,48,205.43503301319905,63.21,High,12,Tuesday
Bull Ring,The Bullring,52.4776,-1.8944,3053,1454.8676222596964,2832,77,757.2832322544524,47.65,Moderate,13,Saturday
NIA Car Parks,NIA Car Parks,52.4792,-1.9161,1268,207.26162790697677,847,1,117.17711366172372,16.35,Low,12,Thursday
NIA North,North Car Park,52.4801,-1.9149,480,35.425925925925924,151,-8,36.11125072967647,7.38,Low,10,Saturday
NIA South,South Car Park,52.4786,-1.9157,788,196.3571428571429,696,1,108.90165943901609,24.92,Low,14,Thursday
